card name,card id,card number,card image url
Ampharos,dp3-1,1,https://images.pokemontcg.io/dp3/1_hires.png
Aerodactyl,ex12-1,1,https://images.pokemontcg.io/ex12/1_hires.png
Caterpie,mcd19-1,1,https://images.pokemontcg.io/mcd19/1_hires.png
Azumarill,ex7-1,1,https://images.pokemontcg.io/ex7/1_hires.png
Celebi & Venusaur-GX,sm9-1,1,https://images.pokemontcg.io/sm9/1_hires.png
Blastoise,pl1-2,2,https://images.pokemontcg.io/pl1/2_hires.png
Altaria,ex3-2,2,https://images.pokemontcg.io/ex3/2_hires.png
Weedle,sm9-2,2,https://images.pokemontcg.io/sm9/2_hires.png
Alolan Exeggutor,mcd19-2,2,https://images.pokemontcg.io/mcd19/2_hires.png
Kakuna,xy5-2,2,https://images.pokemontcg.io/xy5/2_hires.png
Venusaur & Snivy-GX,sm12-1,1,https://images.pokemontcg.io/sm12/1_hires.png
Mew,si1-1,1,https://images.pokemontcg.io/si1/1_hires.png
Caterpie,sm3-1,1,https://images.pokemontcg.io/sm3/1_hires.png
Ampharos,pop7-1,1,https://images.pokemontcg.io/pop7/1_hires.png
Snivy,bw1-2,2,https://images.pokemontcg.io/bw1/2_hires.png
Chansey,base4-3,3,https://images.pokemontcg.io/base4/3_hires.png
Celebi,hgss4-3,3,https://images.pokemontcg.io/hgss4/3_hires.png
Dark Crobat,ex7-3,3,https://images.pokemontcg.io/ex7/3_hires.png
Weedle,swsh35-2,2,https://images.pokemontcg.io/swsh35/2_hires.png
Butterfree,xy2-3,3,https://images.pokemontcg.io/xy2/3_hires.png
Weedle,sm9-3,3,https://images.pokemontcg.io/sm9/3_hires.png
Metapod,sm1-2,2,https://images.pokemontcg.io/sm1/2_hires.png
Magmar,mcd19-3,3,https://images.pokemontcg.io/mcd19/3_hires.png
Charizard,dp3-3,3,https://images.pokemontcg.io/dp3/3_hires.png
Alakazam,base1-1,1,https://images.pokemontcg.io/base1/1_hires.png
Altaria,ex8-1,1,https://images.pokemontcg.io/ex8/1_hires.png
Ho-Oh,pop5-1,1,https://images.pokemontcg.io/pop5/1_hires.png
Shuckle,xy10-1,1,https://images.pokemontcg.io/xy10/1_hires.png
Ampharos,ecard2-H1,H1,https://images.pokemontcg.io/ecard2/H1_hires.png
Alakazam,base4-1,1,https://images.pokemontcg.io/base4/1_hires.png
Beedrill δ,ex11-1,1,https://images.pokemontcg.io/ex11/1_hires.png
Articuno,base3-2,2,https://images.pokemontcg.io/base3/2_hires.png
Brock's Rhydon,gym1-2,2,https://images.pokemontcg.io/gym1/2_hires.png
Banette,ex14-1,1,https://images.pokemontcg.io/ex14/1_hires.png
Caterpie,sm115-1,1,https://images.pokemontcg.io/sm115/1_hires.png
Clefable,col1-1,1,https://images.pokemontcg.io/col1/1_hires.png
Blaziken,ex9-1,1,https://images.pokemontcg.io/ex9/1_hires.png
Surskit,bw10-1,1,https://images.pokemontcg.io/bw10/1_hires.png
Deoxys,ex9-2,2,https://images.pokemontcg.io/ex9/2_hires.png
Ninetales,ru1-3,3,https://images.pokemontcg.io/ru1/3_hires.png
Beedrill,xy5-3,3,https://images.pokemontcg.io/xy5/3_hires.png
Drifblim FB,pl3-3,3,https://images.pokemontcg.io/pl3/3_hires.png
Gloom,xy7-2,2,https://images.pokemontcg.io/xy7/2_hires.png
Masquerain,bw10-2,2,https://images.pokemontcg.io/bw10/2_hires.png
Cradily,ex12-3,3,https://images.pokemontcg.io/ex12/3_hires.png
Tangrowth,xy11-2,2,https://images.pokemontcg.io/xy11/2_hires.png
Crawdaunt,ex3-3,3,https://images.pokemontcg.io/ex3/3_hires.png
Dragonair,dv1-3,3,https://images.pokemontcg.io/dv1/3_hires.png
Venonat,xy4-1,1,https://images.pokemontcg.io/xy4/1_hires.png
Pinsir,bw4-1,1,https://images.pokemontcg.io/bw4/1_hires.png
Oddish,bw7-1,1,https://images.pokemontcg.io/bw7/1_hires.png
Exeggcute,sm5-1,1,https://images.pokemontcg.io/sm5/1_hires.png
Tangela,sm8-1,1,https://images.pokemontcg.io/sm8/1_hires.png
Aggron,hgss4-1,1,https://images.pokemontcg.io/hgss4/1_hires.png
Weedle,xy5-1,1,https://images.pokemontcg.io/xy5/1_hires.png
Ampharos,pl1-1,1,https://images.pokemontcg.io/pl1/1_hires.png
Bulbasaur,det1-1,1,https://images.pokemontcg.io/det1/1_hires.png
Dratini,dv1-1,1,https://images.pokemontcg.io/dv1/1_hires.png
Absol G,pl3-1,1,https://images.pokemontcg.io/pl3/1_hires.png
Caterpie,xy2-1,1,https://images.pokemontcg.io/xy2/1_hires.png
Bastiodon,pop6-1,1,https://images.pokemontcg.io/pop6/1_hires.png
Arcanine,ecard2-H2,H2,https://images.pokemontcg.io/ecard2/H2_hires.png
Altaria,hgss4-2,2,https://images.pokemontcg.io/hgss4/2_hires.png
Blaziken FB,pl3-2,2,https://images.pokemontcg.io/pl3/2_hires.png
Crobat δ,ex11-2,2,https://images.pokemontcg.io/ex11/2_hires.png
Lucario,pop6-2,2,https://images.pokemontcg.io/pop6/2_hires.png
Blastoise,base4-2,2,https://images.pokemontcg.io/base4/2_hires.png
Aggron,ex12-2,2,https://images.pokemontcg.io/ex12/2_hires.png
Dark Ampharos,ex7-2,2,https://images.pokemontcg.io/ex7/2_hires.png
Tangela,xy11-1,1,https://images.pokemontcg.io/xy11/1_hires.png
Snivy,bw1-1,1,https://images.pokemontcg.io/bw1/1_hires.png
Blaine's Arcanine,gym2-1,1,https://images.pokemontcg.io/gym2/1_hires.png
Venusaur V,swsh35-1,1,https://images.pokemontcg.io/swsh35/1_hires.png
Caterpie,sm1-1,1,https://images.pokemontcg.io/sm1/1_hires.png
Armaldo δ,ex13-1,1,https://images.pokemontcg.io/ex13/1_hires.png
Manaphy,pop6-3,3,https://images.pokemontcg.io/pop6/3_hires.png
Dragonite δ,ex11-3,3,https://images.pokemontcg.io/ex11/3_hires.png
Cradily δ,ex13-2,2,https://images.pokemontcg.io/ex13/2_hires.png
Blaine's Charizard,gym2-2,2,https://images.pokemontcg.io/gym2/2_hires.png
Morelull,det1-3,3,https://images.pokemontcg.io/det1/3_hires.png
Gallade,pop7-2,2,https://images.pokemontcg.io/pop7/2_hires.png
Deoxys,col1-2,2,https://images.pokemontcg.io/col1/2_hires.png
Blaziken,pl1-3,3,https://images.pokemontcg.io/pl1/3_hires.png
Metapod,sm115-2,2,https://images.pokemontcg.io/sm115/2_hires.png
Bellsprout,sm2-1,1,https://images.pokemontcg.io/sm2/1_hires.png
Team Aqua's Cacturne,ex4-1,1,https://images.pokemontcg.io/ex4/1_hires.png
Weedle,bw9-1,1,https://images.pokemontcg.io/bw9/1_hires.png
Absol,ex3-1,1,https://images.pokemontcg.io/ex3/1_hires.png
Venusaur,ru1-1,1,https://images.pokemontcg.io/ru1/1_hires.png
Arcanine,hgss1-1,1,https://images.pokemontcg.io/hgss1/1_hires.png
Blaine's Moltres,gym1-1,1,https://images.pokemontcg.io/gym1/1_hires.png
Aerodactyl,base3-1,1,https://images.pokemontcg.io/base3/1_hires.png
Blastoise,dp3-2,2,https://images.pokemontcg.io/dp3/2_hires.png
Metapod,xy2-2,2,https://images.pokemontcg.io/xy2/2_hires.png
Azumarill,hgss1-2,2,https://images.pokemontcg.io/hgss1/2_hires.png
Ludicolo,det1-2,2,https://images.pokemontcg.io/det1/2_hires.png
Cherrim,ru1-2,2,https://images.pokemontcg.io/ru1/2_hires.png
Dialga,dp1-1,1,https://images.pokemontcg.io/dp1/1_hires.png
Oddish,xy7-1,1,https://images.pokemontcg.io/xy7/1_hires.png
Dratini,dv1-2,2,https://images.pokemontcg.io/dv1/2_hires.png
Ariados,ecard2-H3,H3,https://images.pokemontcg.io/ecard2/H3_hires.png
Oddish,sm12-2,2,https://images.pokemontcg.io/sm12/2_hires.png
Pidgeot,si1-2,2,https://images.pokemontcg.io/si1/2_hires.png
Ditto,base3-3,3,https://images.pokemontcg.io/base3/3_hires.png
Clefable,hgss1-3,3,https://images.pokemontcg.io/hgss1/3_hires.png
Erika's Clefable,gym1-3,3,https://images.pokemontcg.io/gym1/3_hires.png
Dark Alakazam,base5-1,1,https://images.pokemontcg.io/base5/1_hires.png
Tangela,bw11-1,1,https://images.pokemontcg.io/bw11/1_hires.png
Blastoise,pop3-1,1,https://images.pokemontcg.io/pop3/1_hires.png
Blaziken,dp4-1,1,https://images.pokemontcg.io/dp4/1_hires.png
Bulbasaur,bw5-1,1,https://images.pokemontcg.io/bw5/1_hires.png
Turtwig,dpp-DP01,DP01,https://images.pokemontcg.io/dpp/DP01_hires.png
Celebi V,swsh1-1,1,https://images.pokemontcg.io/swsh1/1_hires.png
Alakazam,base6-1,1,https://images.pokemontcg.io/base6/1_hires.png
Garchomp,pop9-1,1,https://images.pokemontcg.io/pop9/1_hires.png
Alolan Sandshrew,mcd19-4,4,https://images.pokemontcg.io/mcd19/4_hires.png
Butterfree,sm115-3,3,https://images.pokemontcg.io/sm115/3_hires.png
Dragonite,base3-4,4,https://images.pokemontcg.io/base3/4_hires.png
Charmander,det1-4,4,https://images.pokemontcg.io/det1/4_hires.png
Deoxys δ,pop4-2,2,https://images.pokemontcg.io/pop4/2_hires.png
Delcatty,ex12-4,4,https://images.pokemontcg.io/ex12/4_hires.png
Flygon,ex3-4,4,https://images.pokemontcg.io/ex3/4_hires.png
Pineco,xy2-4,4,https://images.pokemontcg.io/xy2/4_hires.png
Espeon δ,ex11-4,4,https://images.pokemontcg.io/ex11/4_hires.png
Brock's Ninetales,gym2-3,3,https://images.pokemontcg.io/gym2/3_hires.png
Metagross,pop1-2,2,https://images.pokemontcg.io/pop1/2_hires.png
Froslass,pl4-2,2,https://images.pokemontcg.io/pl4/2_hires.png
Metapod,sm3-2,2,https://images.pokemontcg.io/sm3/2_hires.png
Lileep,bw10-3,3,https://images.pokemontcg.io/bw10/3_hires.png
Drapion,hgss4-4,4,https://images.pokemontcg.io/hgss4/4_hires.png
Deoxys δ,ex13-3,3,https://images.pokemontcg.io/ex13/3_hires.png
Hoppip,bw6-1,1,https://images.pokemontcg.io/bw6/1_hires.png
Skiploom,xy11-4,4,https://images.pokemontcg.io/xy11/4_hires.png
Mamoswine,hgss4-5,5,https://images.pokemontcg.io/hgss4/5_hires.png
Yanmega,sm5-3,3,https://images.pokemontcg.io/sm5/3_hires.png
Electivire FB,pl3-4,4,https://images.pokemontcg.io/pl3/4_hires.png
Kakuna,swsh4-2,2,https://images.pokemontcg.io/swsh4/2_hires.png
Erika's Venusaur,gym2-4,4,https://images.pokemontcg.io/gym2/4_hires.png
Jolteon,pop3-3,3,https://images.pokemontcg.io/pop3/3_hires.png
Charizard,base6-3,3,https://images.pokemontcg.io/base6/3_hires.png
Kricketot,bw4-3,3,https://images.pokemontcg.io/bw4/3_hires.png
Magmortar,hgss2-2,2,https://images.pokemontcg.io/hgss2/2_hires.png
Weedle,swsh4-1,1,https://images.pokemontcg.io/swsh4/1_hires.png
Blaziken,pop1-1,1,https://images.pokemontcg.io/pop1/1_hires.png
Turtwig,bw8-1,1,https://images.pokemontcg.io/bw8/1_hires.png
Dark Ampharos,neo4-1,1,https://images.pokemontcg.io/neo4/1_hires.png
Latias,pop7-3,3,https://images.pokemontcg.io/pop7/3_hires.png
Gyarados,hgss1-4,4,https://images.pokemontcg.io/hgss1/4_hires.png
M Venusaur-EX,xy1-2,2,https://images.pokemontcg.io/xy1/2_hires.png
Beautifly,ex8-2,2,https://images.pokemontcg.io/ex8/2_hires.png
Chimchar,dpp-DP02,DP02,https://images.pokemontcg.io/dpp/DP02_hires.png
Dialga,col1-3,3,https://images.pokemontcg.io/col1/3_hires.png
Tangrowth,bw11-2,2,https://images.pokemontcg.io/bw11/2_hires.png
Azumarill,ecard2-H4,H4,https://images.pokemontcg.io/ecard2/H4_hires.png
Dark Crobat,neo4-2,2,https://images.pokemontcg.io/neo4/2_hires.png
Articuno,base6-2,2,https://images.pokemontcg.io/base6/2_hires.png
Onix,si1-3,3,https://images.pokemontcg.io/si1/3_hires.png
Charizard,base4-4,4,https://images.pokemontcg.io/base4/4_hires.png
Grotle,bw8-2,2,https://images.pokemontcg.io/bw8/2_hires.png
Vileplume,xy7-3,3,https://images.pokemontcg.io/xy7/3_hires.png
Charmander,sm75-1,1,https://images.pokemontcg.io/sm75/1_hires.png
Dark Electrode,ex7-4,4,https://images.pokemontcg.io/ex7/4_hires.png
Roselia,swsh1-3,3,https://images.pokemontcg.io/swsh1/3_hires.png
Tangela,xy5-4,4,https://images.pokemontcg.io/xy5/4_hires.png
Flareon δ,ex11-5,5,https://images.pokemontcg.io/ex11/5_hires.png
Gengar,base3-5,5,https://images.pokemontcg.io/base3/5_hires.png
Ariados,ex10-2,2,https://images.pokemontcg.io/ex10/2_hires.png
Bellossom,xy7-4,4,https://images.pokemontcg.io/xy7/4_hires.png
Dialga,pl1-5,5,https://images.pokemontcg.io/pl1/5_hires.png
Electabuzz,basep-2,2,https://images.pokemontcg.io/basep/2_hires.png
Jirachi,hgss2-1,1,https://images.pokemontcg.io/hgss2/1_hires.png
Pikachu,basep-1,1,https://images.pokemontcg.io/basep/1_hires.png
Chimecho δ,pop4-1,1,https://images.pokemontcg.io/pop4/1_hires.png
Charizard,pl4-1,1,https://images.pokemontcg.io/pl4/1_hires.png
Exploud,ex9-3,3,https://images.pokemontcg.io/ex9/3_hires.png
Pachirisu,pop6-4,4,https://images.pokemontcg.io/pop6/4_hires.png
Team Aqua's Crawdaunt,ex4-2,2,https://images.pokemontcg.io/ex4/2_hires.png
Venomoth,xy4-2,2,https://images.pokemontcg.io/xy4/2_hires.png
Delcatty,pl1-4,4,https://images.pokemontcg.io/pl1/4_hires.png
Kakuna,swsh35-3,3,https://images.pokemontcg.io/swsh35/3_hires.png
Dark Arbok,base5-2,2,https://images.pokemontcg.io/base5/2_hires.png
Lugia,pop5-2,2,https://images.pokemontcg.io/pop5/2_hires.png
Cresselia,dp4-2,2,https://images.pokemontcg.io/dp4/2_hires.png
Flareon,pop3-2,2,https://images.pokemontcg.io/pop3/2_hires.png
Manaphy,pop9-2,2,https://images.pokemontcg.io/pop9/2_hires.png
Yanma,sm5-2,2,https://images.pokemontcg.io/sm5/2_hires.png
Venusaur,bw5-3,3,https://images.pokemontcg.io/bw5/3_hires.png
Gengar,ex12-5,5,https://images.pokemontcg.io/ex12/5_hires.png
Heatran,pl4-3,3,https://images.pokemontcg.io/pl4/3_hires.png
Cradily,bw10-4,4,https://images.pokemontcg.io/bw10/4_hires.png
Flygon,pop4-3,3,https://images.pokemontcg.io/pop4/3_hires.png
Gardevoir,ex9-4,4,https://images.pokemontcg.io/ex9/4_hires.png
Darkrai,dp4-3,3,https://images.pokemontcg.io/dp4/3_hires.png
Bellossom,ecard2-H5,H5,https://images.pokemontcg.io/ecard2/H5_hires.png
Rayquaza,pop1-3,3,https://images.pokemontcg.io/pop1/3_hires.png
Yanma,xy4-3,3,https://images.pokemontcg.io/xy4/3_hires.png
Shuckle,bw11-3,3,https://images.pokemontcg.io/bw11/3_hires.png
Latios,pop7-4,4,https://images.pokemontcg.io/pop7/4_hires.png
Venusaur-EX,xy1-1,1,https://images.pokemontcg.io/xy1/1_hires.png
Ampharos,neo3-1,1,https://images.pokemontcg.io/neo3/1_hires.png
Ivysaur,bw5-2,2,https://images.pokemontcg.io/bw5/2_hires.png
Weepinbell,sm2-2,2,https://images.pokemontcg.io/sm2/2_hires.png
Gloom,bw7-2,2,https://images.pokemontcg.io/bw7/2_hires.png
Dragonair,dv1-4,4,https://images.pokemontcg.io/dv1/4_hires.png
Dusknoir,dp1-2,2,https://images.pokemontcg.io/dp1/2_hires.png
Entei,dp3-4,4,https://images.pokemontcg.io/dp3/4_hires.png
Hoppip,xy11-3,3,https://images.pokemontcg.io/xy11/3_hires.png
Roselia,swsh1-2,2,https://images.pokemontcg.io/swsh1/2_hires.png
Seedot,bw4-2,2,https://images.pokemontcg.io/bw4/2_hires.png
Kakuna,sm9-4,4,https://images.pokemontcg.io/sm9/4_hires.png
Ampharos,ex10-1,1,https://images.pokemontcg.io/ex10/1_hires.png
Togepi,si1-4,4,https://images.pokemontcg.io/si1/4_hires.png
Electivire,dp1-3,3,https://images.pokemontcg.io/dp1/3_hires.png
Gloom,sm12-3,3,https://images.pokemontcg.io/sm12/3_hires.png
Hitmontop,hgss1-5,5,https://images.pokemontcg.io/hgss1/5_hires.png
Golem,ex3-5,5,https://images.pokemontcg.io/ex3/5_hires.png
Team Aqua's Kyogre,ex4-3,3,https://images.pokemontcg.io/ex4/3_hires.png
Dragonite,dv1-5,5,https://images.pokemontcg.io/dv1/5_hires.png
Flygon,dp3-5,5,https://images.pokemontcg.io/dp3/5_hires.png
Servine,bw1-3,3,https://images.pokemontcg.io/bw1/3_hires.png
Breloom,ex8-3,3,https://images.pokemontcg.io/ex8/3_hires.png
Blissey,neo3-2,2,https://images.pokemontcg.io/neo3/2_hires.png
Dark Donphan,neo4-3,3,https://images.pokemontcg.io/neo4/3_hires.png
Vileplume,bw7-3,3,https://images.pokemontcg.io/bw7/3_hires.png
Piplup,dpp-DP03,DP03,https://images.pokemontcg.io/dpp/DP03_hires.png
Paras,sm115-4,4,https://images.pokemontcg.io/sm115/4_hires.png
Seedot,xy2-5,5,https://images.pokemontcg.io/xy2/5_hires.png
Blastoise δ,ex14-2,2,https://images.pokemontcg.io/ex14/2_hires.png
Charizard,det1-5,5,https://images.pokemontcg.io/det1/5_hires.png
Dialga,pl1-6,6,https://images.pokemontcg.io/pl1/6_hires.png
